"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0
"2",1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"3",1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
"4",0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
"5",1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0
"6",0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
"7",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"8",0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0
"9",0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0
"10",0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1
"11",1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1
"12",1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1
"13",1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
"14",1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"15",0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1
"16",1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0
"17",1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
"18",1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
"19",0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
"20",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
"21",1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1
"22",0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"23",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0
"24",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"25",1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0
"26",1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0
"27",0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1
"28",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"29",0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"30",0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0
"31",0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1
"32",1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0
"33",1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"34",1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1
"35",1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1
"36",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"37",0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
"38",1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0
"39",1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"40",1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,0
"41",0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1
"42",1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0
"43",1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1
"44",0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0
"45",1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
"46",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
"47",0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
"48",1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1
"49",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0
"50",0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
"51",1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0
"52",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"53",0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0
"54",1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1
"55",1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1
"56",1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0
"57",1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
"58",1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1
"59",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"60",0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1
"61",0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
"62",1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0
"63",1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0
"64",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"65",1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0
"66",0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
"67",1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
"68",0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
"69",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
"70",1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
"71",0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0
"72",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
"73",1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0
"74",1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"75",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0
"76",1,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0
"77",1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0
